iso_code,continent,location,population,medianAge,bed,flag_wave,flag_type,K,startpoint,endpoint,startpoint_rough,endpoint_rough,confirmed_wave,deaths_wave,maxQuarantined_wave,tau,tau_lb,tau_ub,s0,s0_lb,s0_ub,tc,tc_lb,tc_ub,startDate,endDate,duration
AFG,Asia,"Afghanistan",38928341,18.6,0.5,1,1,6.923849302,2,121,30,200,37685,1379,20294,17.18697141,16.76247333,17.61146949,3.651942153,3.608840028,3.695044278,68.56597649,67.93324562,69.19870735,22-Apr-0020,19-Aug-0020,120
AUT,Europe,"Austria",9006400,44.4,7.37,1,1,7.36076344,4,64,1,100,16067,709,4705,8.15132839,7.749558875,8.553097906,7.797764252,7.673143845,7.92238466,26.28345546,25.78621993,26.78069098,17-Mar-0020,16-May-0020,61
BEL,Europe,"Belgium",11589616,41.8,5.64,1,1,8.311465637,3,63,10,100,56235,9186,11842,7.2189434,6.830676988,7.607209812,77.03673996,75.83707518,78.23640473,25.97857792,25.50739189,26.44976396,22-Mar-0020,21-May-0020,61
BIH,Europe,"Bosnia and Herzegovina",3280815,42.5,3.5,1,1,7.165929393,1,59,20,90,2606,159,691,8.093855914,7.748754818,8.43895701,3.870991294,3.806252964,3.935729623,30.14435871,29.67917685,30.60954057,09-Apr-0020,06-Jun-0020,59
CMR,Africa,"Cameroon",26545864,18.8,1.3,1,1,6.277062303,8,130,5,205,17718,391,3265,19.43584341,18.2491121,20.62257472,1.521913009,1.481635907,1.562190112,60.40815103,58.75800456,62.05829749,05-Apr-0020,05-Aug-0020,123
CAN,North America,"Canada",37742157,41.4,2.5,1,1,7.075859897,7,89,10,150,98806,8746,30021,11.58869751,11.05196215,12.12543288,23.28370503,22.91151241,23.65589765,36.5764951,35.89943086,37.25355934,23-Mar-0020,13-Jun-0020,83
CIV,Africa,"Cote d'Ivoire",26378275,18.7,NaN,1,1,6.651250182,6,139,25,300,18701,119,5264,19.99624076,19.45726977,20.53521175,0.401407158,0.396988442,0.405825875,65.42943286,64.69708223,66.16178349,27-Apr-0020,07-Sep-0020,134
HRV,Europe,"Croatia",4105268,44,5.54,1,1,7.591345462,4,73,1,100,2246,103,979,9.089297852,8.71294666,9.465649045,2.506867846,2.471602716,2.542132976,32.6356505,32.15720087,33.11410013,22-Mar-0020,30-May-0020,70
CZE,Europe,"Czechia",10708982,43.3,6.63,1,1,7.097792429,1,66,1,100,9050,317,2259,9.157776964,8.341570056,9.973983871,2.855929587,2.777110132,2.934749041,25.81651488,24.84063455,26.79239521,22-Mar-0020,26-May-0020,66
DNK,Europe,"Denmark",5792203,42.3,2.5,1,1,7.009255873,3,72,1,200,11360,562,2769,9.844126288,9.234223558,10.45402902,9.74236463,9.537620613,9.947108647,30.11962047,29.35845321,30.88078773,16-Mar-0020,24-May-0020,70
SWZ,Africa,"Eswatini",1160164,21.5,2.1,1,1,7.838201959,4,114,60,200,5579,112,663,14.03383079,13.60902201,14.45863958,9.167817574,9.072499879,9.263135269,53.41550069,52.87085455,53.96014682,17-Jun-0020,05-Oct-0020,111
FIN,Europe,"Finland",5540718,42.8,3.28,1,1,7.653582968,8,68,5,112,6573,299,1729,7.839465549,7.481141648,8.197789449,5.38107689,5.302210614,5.459943167,26.99878769,26.55355487,27.4440205,18-Mar-0020,17-May-0020,61
